id_API,anoApresentacao,dataApresentacao,tipo,ano_query,temas,partidos
64388,2002.0,2002-08-07T15:07,Projeto de Lei,2002.0,"Indústria, Comércio e Serviços",PSDB
64390,2002.0,2002-08-07T15:07,Requerimento de Informação,2002.0,Economia; Saúde,PT
64394,2002.0,2002-08-07T15:31,Projeto de Lei,2002.0,Economia,PSDB
64395,2002.0,2002-08-07T15:31,Projeto de Lei,2002.0,Comunicações,PCdoB
64396,2002.0,2002-08-07T15:33,Requerimento de Informação,2002.0,Administração Pública,PCdoB
64440,2002.0,2002-08-07T16:34,Projeto de Lei,2002.0,Trabalho e Emprego,DEM
64457,2002.0,2002-08-07T16:54,Projeto de Lei,2002.0,Administração Pública,PDT
64458,2002.0,2002-08-07T16:55,Projeto de Lei,2002.0,Comunicações,PDT
64460,2002.0,2002-08-07T16:55,Projeto de Lei,2002.0,Direitos Humanos e Minorias,PDT
64461,2002.0,2002-08-07T16:57,Proposta de Emenda à Constituição,2002.0,Defesa e Segurança,PFL
64512,2002.0,2002-08-07T17:51,Projeto de Lei,2002.0,"Energia, Recursos Hídricos e Minerais; Finanças Públicas e Orçamento",DEM
64515,2002.0,2002-08-07T17:53,Projeto de Lei,2002.0,"Viação, Transporte e Mobilidade",REPUBLICANOS
64532,2002.0,2002-08-07T18:22,Projeto de Lei,2002.0,Administração Pública,PDT
64543,2002.0,2002-08-07T18:32,Projeto de Lei,2002.0,Defesa e Segurança,PFL
64552,2002.0,2002-08-07T18:35,Requerimento de Informação,2002.0,Previdência e Assistência Social; Saúde,PSL
64689,2002.0,2002-08-08T15:01,Projeto de Lei,2002.0,Direito Civil e Processual Civil,PT
64722,2002.0,2002-08-08T16:07,Indicação ,2002.0,"Ciência, Tecnologia e Inovação; Educação",PDT
64723,2002.0,2002-08-08T16:08,Indicação ,2002.0,Educação,PDT
65070,2002.0,2002-08-07T18:37,Projeto de Lei,2002.0,Administração Pública,PTB
66061,2002.0,2002-08-21T13:06,Requerimento de Informação,2002.0,Economia,PT
66062,2002.0,2002-08-21T13:07,Requerimento de Informação,2002.0,"Administração Pública; Energia, Recursos Hídricos e Minerais",PT
66063,2002.0,2002-08-21T13:08,Requerimento de Informação,2002.0,"Economia; Energia, Recursos Hídricos e Minerais",PT
66068,2002.0,2002-08-19T15:21,Requerimento de Informação,2002.0,Economia,PSB
67030,2002.0,2002-08-27T14:05,Requerimento de Informação,2002.0,"Administração Pública; Viação, Transporte e Mobilidade",PSB
67032,2002.0,2002-08-27T14:07,Projeto de Lei,2002.0,Direito Civil e Processual Civil,PSDB
67033,2002.0,2002-08-27T14:18,Projeto de Lei,2002.0,Finanças Públicas e Orçamento,PSDB
